resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,average_watts,device_watts,kilojoules
2,Evening Pilates,0.0,4618,4618,0.0,Workout,Pilates,13421752930,2025-01-21T19:10:43Z,2025-01-21T20:10:43Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,4,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,105.7,159.0,False,True,0.0,0.0,14316044089,14316044089,1F45E933-FE2B-4BD6-9B1C-7CAA7B8E5D7C-activity.fit,False,0,0,False,109915717,1,a13421752930,,2,,,,
2,Afternoon Workout,0.0,3351,3351,0.0,Workout,Workout,13406956271,2025-01-20T16:59:38Z,2025-01-20T17:59:38Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,5,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,147.6,182.0,False,True,0.0,0.0,14300137233,14300137233,1246EB27-FEDB-43FF-A8BA-856249F7A00A.fit,False,0,0,False,109915717,1,a13406956271,,2,,,,
2,Afternoon Walk,4489.4,4105,15680,23.4,Walk,Walk,13399221227,2025-01-19T12:51:47Z,2025-01-19T13:51:47Z,(GMT+01:00) Europe/Rome,3600.0,,,,0,6,0,1,0,False,False,False,False,everyone,False,,"[45.433728, 12.339551]","[45.446667, 12.311696]",1.094,2.84,True,98.0,139.0,False,True,11.1,-3.0,14291653925,14291653925,A7E37C17-D051-48EC-9A43-73F5CEA0C785-activity.fit,False,0,4,False,109915717,1,a13399221227,o_itGoaijAO]@IECLNKIuBhGG??HAETLNRDADLB@BGE@DHQABBACCFBHQd@@JO?LPGNBFEXGD?JGF@Dm@`CY`@IP@FG?@FYREVS\c@`@KBCXWHaB|Aw@@}@{@k@}@D@WIS]s@oCJO?_@Y@MYvD}C|Dx@h@c@Hs@h@\RTD?Zf@BGBLf@l@N[r@wCEIJJDEABF@CBDHH@HNF@FRDBRn@ECPz@GA@GZEAZHCtAcCF@EI@GjAqA_@?i@^@DI]@a@Qy@KKU?GIBICE@LE?D?AFIAGNQB@Fi@JKLKZE?GO?HIMBHIb@IMC?A\EAATAOAJLFBHCFDDHCBHH@@LX@?b@HHEDXPEDB@@XTV@JMLEXIHECNf@RDEFDNVBFHDb@JH`@`AEJ@f@HJBf@P^ATB@GJLXNPAO?ZIKBEHLAJB@GFTd@ANL`@@`@ENH\d@LPKRPON[k@Jv@PNe@PWj@K`AMKVBMEKr@[\IZW@Rd@VNd@x@YxAHRHBLb@HJDTEPb@`@Rf@RTjAh@l@Pj@h@Td@|@LJXFOIf@NZ`@PzBbBIb@IJA\@h@HZ@Hj@TNTTBHPNCj@TEx@EJBVE|@CCKXU@CJ?Ga@?{@O[a@GC@BOdAAXADIDENBl@CRDRADy@ZC`@QXu@L]LYTU?ARGJg@PKT@z@DBEF{BLYJEHAXBl@AC@HKJeARk@OKBi@g@Q?IIk@QK?IUWGWU@aAECBFG??HCSIHCGFFAFDAUoC?}@VxCa@fAd@_@j@GOCEII_@MWKKYCAMOGCGW\q@]I?c@LGj@E@a@dAUSM@SOPNABa@PWj@STKUUCc@QAIM?GN[VQj@KLEVKI_@w@WIOOYdAU\Gd@_AhAGP[@QTOB?FM_@SUAQWDYVIRs@l@ITYVIR_@ZMMD@@K@F@Ok@mBf@fBEDDOCGDCM\AGGDBBKv@Dq@AQUQQa@GAo@x@YPAn@W?Na@?B\l@^fAFv@Gn@Yv@EDCPI@`@oAWz@WLGNQOp@OFFG?Av@v@?]Hu@_@M?EIHBMTB]Wi@M\KHALOP@@G@ERSTQn@c@t@c@fAe@bAe@h@]j@KDIRVMIZULMP_@jAkA~BwAzDg@hBeA`DuAdCECETGDCLMHWf@Wl@BAC`@BA,2,,,,
2,Evening Walk - Venice,9321.2,3974,26483,24.8,Walk,Walk,13397085763,2025-01-18T18:22:43Z,2025-01-18T19:22:43Z,(GMT+01:00) Europe/Rome,3600.0,,,,0,7,0,1,0,False,False,False,False,everyone,False,,"[45.441375, 12.322406]","[45.487335, 12.299272]",2.346,22.78,True,98.5,124.0,False,True,11.0,-0.3,14289352495,14289352495,64B69AE1-56F2-4A2F-85F6-190A1F5574E7-activity.fit,False,0,3,False,109915717,1,a13397085763,wojtGyafjAIWGAKQI]KKQOUEIIYKGDSMCQMOC@@ACYGOCe@K_@C]Bm@Ic@Cg@Bs@AQ@a@Gg@EkACYGQAa@Km@Gq@?cBCQA?@?Bc@HY@YFe@Vc@FSDUL[Hk@DiALo@BCL_@FI?}@BEAEb@]HOAA\QLg@H?\YHAX]f@e@BIt@]JQZ[NWFURIHOHIHu@HK@IJS?IFa@DIDWh@kAFIDONSXwAlAsCNg@?QTILANDIUJGBMTQ@FJF@OKS@UBMJERFHAPMFDL?FACGPAb@HTHJJZKPa@RAVd@ACHEF@@FLFF?DGFJHTNNNER?^Sb@HBF?FQ\CPQF?\CBIVC?CGCFE?CFE??X@@M\HFOPKXFJJFNTNN@JVj@TXVn@BNXt@DXTt@I]CA?QKIKQOg@AII[]m@@GEC?GA?AGIIEIIK@A?BE?B@AGBBEAk^xRy@dAG@?DHQFA@IEGEMQ_@c@i@AE@CGMQOEKE?AIKE[FECKOGUGAGEI@QPMTc@vAGFG\E@GPOl@]KC@MICG[OAESEMQOIKCIDOGFRHHPQH?NHf@b@NDh@\HJK~@ARg@zBKz@K\En@HNNL`@HLNLFJ?FFJ?@DR?FR^Tj@NDH?p@EV?b@RxAAXBb@HPFhA?PBP?`@@JDDAnBFd@ET?p@FTCFTjAHJJB@VBLj@d@@DBAHO?GABCGCDB@?PRHHN^XT^@HFFBTTXLBTVF?FLANV`@ETHNPNPZTNBHTRFL@FT^DPTRN\NNZp@XXIpAKTJ_@@QJq@DGI@MO@EE@?G@JBAAB@ECBCICAB??FAC?DCADC`@b@Tb@b@`@PXp@p@\V\p@NNX`@ZPb@v@D?DFRNF\LV@Fh@TXTXb@v@x@Ll@ZR@WCG?[@_@D?@EP[QJOXIx@BBGXuBrEk@`AkAzAeBjBkC|Bi@\cAXmK`@wAVi@Ri@Xe@\e@b@aAvAcIzP_AbBiC|D{DfIevAbzCmGzMqBnEgDlIqE|JgBxE_BrEuAlEgB|Gs@vC_BxHM~@Od@WPSFYIsBw@}CaAsCU{@QqAc@iAOq@PgPpKsCxA_@Nu@FyAIo@g@eAiAiB}CcEkGwFgJaFwHQi@WqAgAsAmAeCi@kBQgA_Fo^_BgNIaBDiADe@Xe@J]DWAWGQ_A}@]o@K[QgAe@oDiAmHy@wGwFyg@,2,,,,
2,Afternoon Workout,0.0,2708,2708,0.0,Workout,Workout,13362011255,2025-01-15T14:20:30Z,2025-01-15T15:20:30Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,3,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,147.2,178.0,False,True,0.0,0.0,14251570531,14251570531,0C952199-79B4-4833-A590-646BAC60C720-activity.fit,False,0,0,False,109915717,1,a13362011255,,2,,,,
2,Evening Pilates,0.0,4367,4367,0.0,Workout,Pilates,13355782873,2025-01-14T19:11:15Z,2025-01-14T20:11:15Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,7,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,102.1,141.0,False,True,0.0,0.0,14244883872,14244883872,9EA61D60-D1AF-4745-B8B6-B5EB07F170FB-activity.fit,False,0,1,False,109915717,1,a13355782873,,2,,,,
2,Afternoon Crossfit,0.0,4862,4862,0.0,Crossfit,Crossfit,13345204769,2025-01-13T16:54:40Z,2025-01-13T17:54:40Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,4,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,154.5,190.0,False,True,0.0,0.0,14233582698,14233582698,8A8ADC65-BE45-4BEE-B284-331ADBC2BEB3-activity.fit,False,0,0,False,109915717,1,a13345204769,,2,,,,
2,Evening Pilates,0.0,4703,4703,0.0,Workout,Pilates,13293513422,2025-01-07T19:06:02Z,2025-01-07T20:06:02Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,7,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,104.4,163.0,False,True,0.0,0.0,14178083177,14178083177,CB4DBC18-C968-4E43-B6BD-98A93F716905-activity.fit,False,0,1,False,109915717,1,a13293513422,,2,,,,
2,Morning Walk - Salzburg,9209.6,8007,10993,137.8,Walk,Walk,13280595660,2025-01-06T09:48:24Z,2025-01-06T10:48:24Z,(GMT+01:00) Europe/Vienna,3600.0,,,,0,5,0,1,0,False,False,False,False,everyone,False,,"[47.810146, 13.038308]","[47.810286, 13.038338]",1.15,2.84,True,101.8,161.0,False,True,504.9,418.6,14164229904,14164229904,73EC8E2B-47B1-4070-B5A0-D4A835E16543-activity.fit,False,0,4,False,109915717,1,a13280595660,_xxbHojqnArAMl@DJCHQFAb@DfBQvASr@MtFyAl@[bBs@v@bHm@f@APDJCFB?@TDLILA^a@d@AVWhAHNTLXQb@o@SZGZDRl@RMBSVODOV?d@P`@VLRCRl@GH@HDINDn@`AVRjBfCLP@XJ\z@xANNbAHb@SnBUzB[HL@VRVUy@FALSb@ObCOVQnAc@h@u@j@GVQbAcAP[Am@K}@Pg@QaARy@LkA@WA}@S_@?c@Ik@?m@[q@g@OD_@T_@Pm@?QEWGCSc@CQOI@GTBfAUHKAILFHLh@f@FIBe@g@kBQ[_BFMKO_@?RJTRJ|AYRi@TWxBe@n@Hr@A^Id@BVIVA`@DxGY`DoAVSVGJWJe@LaBF]@{@[sAUW[KaA}@}@}B_@]TwEDAQv@OpCb@l@FTn@hBh@j@p@\NBTh@RjAIp@@\DDGBI\Ab@Jv@Z\GLMBETPRj@AXOX[h@IHDAHCQW?]Jc@^i@HMEI_@XCBGEUSMK}@NyADkACQe@wAq@]s@q@c@u@YaA_@e@CGF[LcDM~@@SCAJy@ONMb@BJHDZBVID[^{@z@u@hBApB[Hi@Ae@CCBED_A?gBDy@I}B@g@EK@i@MmAAa@Dm@?{@OrA?\RlBETDb@G^Fj@BdBTBl@KFKD\\j@x@nBj@y@b@qAb@i@n@K|CANKv@eADQKGJM`@MFI\?OHOAGJS?WTOC[MyDuCg@WEOQOg@Uu@m@AOU[Ak@CMG@q@YSa@UMUUYAMS_@Y?IDCKEKIK]KU_@]CW][Mk@]AAMo@KQUOEKa@_@c@o@[CGI?Ae@IS_@O?KJIAMUYBY]q@NkBQe@eAYA?AJGB_AIOFc@SEOEADACCEJKBGPSPyAE{@bCaBnF{B`Js@fDMZQt@FPf@AL`@`@d@IvB@j@[l@ONMr@DDIBJ?EB@HONCIE@AHSEi@\Cd@IBKd@KLCRJHCLQJ@JIRFb@Op@BNGb@FbAILJj@ITIr@Hl@CFBRQHSCUJUe@DDBGCHQEI\@p@Et@Uz@?fACx@Gl@m@IaAe@aBYgA{@_@r@ERcArCU^M`@sApCaArAGP_AjA_BrAcAh@@HcARSVq@JWVu@XkB`@[PyCj@KHs@LwCV]b@e@YkBPo@I,2,,,,
2,Evening Walk,9721.0,7434,25697,34.1,Walk,Walk,13257659305,2025-01-03T12:24:38Z,2025-01-03T13:24:38Z,(GMT+01:00) Europe/Madrid,3600.0,,,,0,4,0,1,0,False,False,False,False,everyone,False,,"[39.460807, -0.357519]","[39.468194, -0.349729]",1.308,37.886,False,,,False,False,23.6,6.0,14139510536,14139510536,3A84A8DA-CEB2-4CB0-97D5-50D7F952289E-activity.fit,False,0,5,False,109915717,1,a13257659305,srzoFnceAyA^c@b@c@EkErAmAjA{@bBcExBOf@e@d@{EbC_AXQNFZGJ}Br@?H_BbAU_@uAf@g~@leAfAr@a@fAEn@`A|@nA^MZp@g@M?ATFEe@RG^ECVe@CMKAEf@GQQGl@Fg@QPR@MNCBOG?EBISHUNA?BUB~@RWTa@UDXQMBNOJ@JHIQMHGJNJIOi@BJP?UC?UTH?NEDAKSTC`@TDEBFWKDCGTMAEOEBITLPADOVKGNNLC\WRa@@QVV]pAFn@@hAj@zBh@ZXt@BRT]NMa@B`@ZPDPf@CLNf@HfAGFNv@l@Z?\XRSnAR|@U\NSCHUGDLODNE@FBGWDAEHUBZHSGNCKIDQAXDQJNGDFCEBPDSHL@?@SGH^l@r@n@XLZa@z@m@b@o@m@KYHSPDIA@NBFCETKFDG?@FVCI@VYPFIGDEDNDOHLQB^PKGDFE[m@KEBLPOJ?ZD^IOHCIBDJAMO?BIOJWk@H^`@`@Sk@FCIA?RJRD@O_@GEEPPb@h@Q`B{ATTAM\i@VEx@}Af@OKCP?B`@ECFGZAf@q@Pq@ZKBQO[DCj@RnAOl@A`AJUYFCKZBQ@ZFKJY_@~@r@{@ILc@A`@GLWGVVEW@JnBFMGE?i@PIlBJ^w@LAF[NPl@ITNTENSHHCLZAJO@kAKo@}@ISJBJW\a@J[EAI[|@Ir@OT_@Li@z@IA@RMTAZF@GPHVETNHAG^IGEQLTIJJUA^KPFBLc@?_@i@H?OAU^BMFLOINLGIH`@MILEGDDUKBLDGBIELFI@IWRVHa@i@b@\ICUMFNNCDDC?MOJDIGG\GGXCUJGQXb@w@Uf@USJJJKIPDBEAFMGHHRBOAHEC@DLIa@HVWQND@GDLSGDRHMCMMNLK?FH@gAEf@FGCHH?CGDLGCLKGLEI@JCQDZMEBSKCFNC`@BKLAK_@?PP?IVPEOCB?KNBKh@Og@RNAQDNGQE?JHi@Ob@PAUPH[?BJBMJJQAFCIGHR@[PTKWFXOCGDFKGFCER\k@?Hs@IGSBY]AOYu@u@W?m@_@[FvIy@IuAOo@VcBKSJYMeBJ_A_@iAQGj@_APwBIuAF?MGFFG??H@WAXBi@Er@Be@A`@?a@@\?a@AR?MFDGRDCINEIBUPAKZ?IO\Jm@H?]GTPGML_@?q@Rg@@UQMFAAs@KE?i@JKSe@^a@XNSWBL,2,,,,
